Label (Grouping),RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher
        Margin of Error,,(X),±1.2,±4.5,(X),±1.6,±4.3,(X),±56.4,±52.9,(X),**,**,(X),±25.2,±26.9,(X),**,**,(X),±15.1,±15.1,(X),±33.1,±33.1,(X),±11.3,±21.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,345","1,345","1,200","1,265","1,265","1,156",0,0,0,0,0,0,19,19,9,0,0,0,57,57,57,84,84,84,209,209,173
        Margin of Error,,±251,±251,±189,±233,±233,±181,±13,±13,±13,±13,±13,±13,±25,±25,±17,±13,±13,±13,±58,±58,±58,±127,±127,±127,±158,±158,±154
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,89.20%,(X),100.00%,91.40%,(X),-,-,(X),-,-,(X),100.00%,47.40%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,82.80%
        Margin of Error,,(X),±2.9,±8.0,(X),±3.1,±7.7,(X),**,**,(X),**,**,(X),±75.5,±52.6,(X),**,**,(X),±43.6,±43.6,(X),±35.6,±35.6,(X),±17.3,±28.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,174","1,156","1,117","1,141","1,141","1,102",34,34,16,0,0,0,99,78,78,0,0,0,90,77,77,10,10,10,123,92,92
        Margin of Error,,±273,±274,±270,±273,±273,±269,±39,±39,±24,±13,±13,±13,±80,±61,±61,±13,±13,±13,±87,±83,±83,±17,±17,±17,±93,±86,±86
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.50%,95.10%,(X),100.00%,96.60%,(X),100.00%,47.10%,(X),-,-,(X),78.80%,78.80%,(X),-,-,(X),85.60%,85.60%,(X),100.00%,100.00%,(X),74.80%,74.80%
        Margin of Error,,(X),±2.7,±4.3,(X),±3.4,±3.6,(X),±56.4,±52.9,(X),**,**,(X),±28.5,±28.5,(X),**,**,(X),±30.9,±30.9,(X),±100.0,±100.0,(X),±32.8,±32.8
"Census Tract 2.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,48,48,44,40,40,36,9,9,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,8,8,8
        Margin of Error,,±85,±85,±75,±67,±67,±57,±20,±20,±13,±13,±13,±13,±56,±56,±56,±13,±13,±13,±13,±13,±13,±13,±13,±13,±18,±18,±18
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.70%,(X),100.00%,90.00%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±47.5,±13.9,(X),±52.0,±16.8,(X),±100.0,±100.0,(X),**,**,(X),±60.1,±60.1,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,48,48,44,40,40,36,2,2,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,8,8,8
        Margin of Error,,±85,±85,±75,±67,±67,±57,±4,±4,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±18,±18,±18
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.70%,(X),100.00%,90.00%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±47.5,±13.9,(X),±52.0,±16.8,(X),±100.0,±100.0,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,0,0,0,0,0,0,7,7,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0
        Margin of Error,,±13,±13,±13,±13,±13,±13,±17,±17,±13,±13,±13,±13,±54,±54,±54,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-
        Margin of Error,,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±67.2,±67.2,(X),**,**,(X),**,**,(X),**,**,(X),**,**
"Census Tract 2.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"2,684","2,669","2,356","2,590","2,575","2,262",47,47,18,0,0,0,112,112,112,18,18,18,81,81,81,12,12,12,175,175,175
        Margin of Error,,±544,±549,±517,±548,±554,±522,±54,±54,±28,±13,±13,±13,±102,±102,±102,±25,±25,±25,±128,±128,±128,±26,±26,±26,±145,±145,±145
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.40%,87.80%,(X),99.40%,87.30%,(X),100.00%,38.30%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±1.0,±5.5,(X),±1.0,±5.8,(X),±48.0,±53.0,(X),**,**,(X),±29.2,±29.2,(X),±77.5,±77.5,(X),±36.4,±36.4,(X),±95.0,±95.0,(X),±20.3,±20.3
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,091","1,091","1,003","1,069","1,069",981,29,29,0,0,0,0,54,54,54,0,0,0,81,81,81,0,0,0,103,103,103
        Margin of Error,,±214,±214,±197,±218,±218,±204,±46,±46,±13,±13,±13,±13,±67,±67,±67,±13,±13,±13,±128,±128,±128,±13,±13,±13,±131,±131,±131
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.90%,(X),100.00%,91.80%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±3.6,±7.2,(X),±3.7,±7.4,(X),±61.1,±61.1,(X),**,**,(X),±44.8,±44.8,(X),**,**,(X),±36.4,±36.4,(X),**,**,(X),±31.1,±31.1
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,593","1,578","1,353","1,521","1,506","1,281",18,18,18,0,0,0,58,58,58,18,18,18,0,0,0,12,12,12,72,72,72
        Margin of Error,,±444,±451,±447,±452,±459,±455,±28,±28,±28,±13,±13,±13,±60,±60,±60,±25,±25,±25,±13,±13,±13,±26,±26,±26,±68,±68,±68
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.10%,84.90%,(X),99.00%,84.20%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±1.7,±9.0,(X),±1.8,±9.6,(X),±77.5,±77.5,(X),**,**,(X),±43.2,±43.2,(X),±77.5,±77.5,(X),**,**,(X),±95.0,±95.0,(X),±38.8,±38.8
"Census Tract 3, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"3,768","3,768","3,519","3,478","3,478","3,229",111,111,18,0,0,0,301,297,266,0,0,0,38,38,38,163,163,163,421,421,421
        Margin of Error,,±500,±500,±486,±492,±492,±477,±84,±84,±34,±19,±19,±19,±115,±113,±110,±19,±19,±19,±59,±59,±59,±139,±139,±139,±201,±201,±201
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,93.40%,(X),100.00%,92.80%,(X),100.00%,16.20%,(X),-,-,(X),98.70%,88.40%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±1.1,±3.2,(X),±1.1,±3.4,(X),±29.4,±39.2,(X),**,**,(X),±3.1,±12.7,(X),**,**,(X),±53.4,±53.4,(X),±21.5,±21.5,(X),±9.1,±9.1
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,829","1,829","1,663","1,694","1,694","1,528",63,63,0,0,0,0,158,154,154,0,0,0,19,19,19,74,74,74,209,209,209
        Margin of Error,,±325,±325,±306,±322,±322,±307,±84,±84,±19,±19,±19,±19,±96,±93,±93,±19,±19,±19,±30,±30,±30,±86,±86,±86,±116,±116,±116
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,90.90%,(X),100.00%,90.20%,(X),100.00%,0.00%,(X),-,-,(X),97.50%,97.50%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±2.2,±5.4,(X),±2.3,±5.9,(X),±41.5,±41.5,(X),**,**,(X),±5.9,±5.9,(X),**,**,(X),±75.5,±75.5,(X),±38.2,±38.2,(X),±17.3,±17.3
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,939","1,939","1,856","1,784","1,784","1,701",48,48,18,0,0,0,143,143,112,0,0,0,19,19,19,89,89,89,212,212,212
        Margin of Error,,±338,±338,±341,±336,±336,±339,±60,±60,±34,±19,±19,±19,±82,±82,±68,±19,±19,±19,±29,±29,±29,±91,±91,±91,±123,±123,±123
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.70%,(X),100.00%,95.30%,(X),100.00%,37.50%,(X),-,-,(X),100.00%,78.30%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±2.0,±3.2,(X),±2.2,±3.5,(X),±47.5,±60.8,(X),**,**,(X),±24.1,±21.8,(X),**,**,(X),±75.5,±75.5,(X),±34.3,±34.3,(X),±17.1,±17.1
"Census Tract 4, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,807,728,665,678,678,629,32,28,14,0,0,0,285,277,260,0,0,0,5,4,4,42,42,36,157,77,63
        Margin of Error,,±131,±106,±99,±104,±104,±100,±18,±19,±19,±13,±13,±13,±205,±204,±203,±13,±13,±13,±8,±8,±8,±30,±30,±31,±107,±45,±38
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),90.20%,82.40%,(X),100.00%,92.80%,(X),87.50%,43.80%,(X),-,-,(X),97.20%,91.20%,(X),-,-,(X),80.00%,80.00%,(X),100.00%,85.70%,(X),49.00%,40.10%
        Margin of Error,,(X),±10.9,±10.6,(X),±5.7,±4.9,(X),±32.8,±51.7,(X),**,**,(X),±4.7,±12.4,(X),**,**,(X),±55.8,±55.8,(X),±50.8,±25.6,(X),±36.0,±30.5
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,308,308,283,285,285,260,25,21,7,0,0,0,72,72,64,0,0,0,2,2,2,28,28,28,48,48,48
        Margin of Error,,±61,±61,±58,±59,±59,±55,±15,±16,±15,±13,±13,±13,±49,±49,±48,±13,±13,±13,±3,±3,±3,±29,±29,±29,±35,±35,±35
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.90%,(X),100.00%,91.20%,(X),84.00%,28.00%,(X),-,-,(X),100.00%,88.90%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±12.2,±6.5,(X),±13.1,±6.9,(X),±40.5,±59.2,(X),**,**,(X),±38.8,±17.9,(X),**,**,(X),±100.0,±100.0,(X),±62.2,±62.2,(X),±47.5,±47.5
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,499,420,382,393,393,369,7,7,7,0,0,0,213,205,196,0,0,0,3,2,2,14,14,8,109,29,15
        Margin of Error,,±113,±74,±69,±71,±71,±68,±10,±10,±10,±13,±13,±13,±170,±169,±168,±13,±13,±13,±6,±5,±5,±16,±16,±12,±98,±25,±14
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),84.20%,76.60%,(X),100.00%,93.90%,(X),100.00%,100.00%,(X),-,-,(X),96.20%,92.00%,(X),-,-,(X),66.70%,66.70%,(X),100.00%,57.10%,(X),26.60%,13.80%
        Margin of Error,,(X),±16.6,±15.8,(X),±9.7,±7.3,(X),±100.0,±100.0,(X),**,**,(X),±6.6,±11.6,(X),**,**,(X),±66.7,±66.7,(X),±87.9,±53.2,(X),±34.6,±19.4
"Census Tract 5.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"2,155","2,155","2,012","1,998","1,998","1,884",233,197,146,0,0,0,359,359,305,0,0,0,19,18,18,168,168,168,176,175,146
        Margin of Error,,±315,±315,±335,±283,±283,±295,±119,±115,±93,±13,±13,±13,±235,±235,±224,±13,±13,±13,±27,±27,±27,±235,±235,±235,±95,±95,±95
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,93.40%,(X),100.00%,94.30%,(X),84.50%,62.70%,(X),-,-,(X),100.00%,85.00%,(X),-,-,(X),94.70%,94.70%,(X),100.00%,100.00%,(X),99.40%,83.00%
        Margin of Error,,(X),±1.8,±3.6,(X),±2.0,±3.3,(X),±22.3,±24.1,(X),**,**,(X),±10.5,±13.7,(X),**,**,(X),±20.9,±20.9,(X),±21.0,±21.0,(X),±1.6,±20.7
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,059","1,059","1,018",928,928,916,95,59,16,0,0,0,241,241,241,0,0,0,17,16,16,15,15,15,148,147,118
        Margin of Error,,±200,±200,±208,±175,±175,±179,±66,±61,±24,±13,±13,±13,±219,±219,±219,±13,±13,±13,±27,±27,±27,±24,±24,±24,±90,±89,±90
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,96.10%,(X),100.00%,98.70%,(X),62.10%,16.80%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),94.10%,94.10%,(X),100.00%,100.00%,(X),99.30%,79.70%
        Margin of Error,,(X),±3.7,±3.8,(X),±4.2,±2.1,(X),±50.7,±25.6,(X),**,**,(X),±15.2,±15.2,(X),**,**,(X),±28.1,±28.1,(X),±84.9,±84.9,(X),±2.0,±24.5
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,096","1,096",994,"1,070","1,070",968,138,138,130,0,0,0,118,118,64,0,0,0,2,2,2,153,153,153,28,28,28
        Margin of Error,,±184,±184,±193,±179,±179,±188,±92,±92,±91,±13,±13,±13,±65,±65,±44,±13,±13,±13,±4,±4,±4,±233,±233,±233,±32,±32,±32
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,90.70%,(X),100.00%,90.50%,(X),100.00%,94.20%,(X),-,-,(X),100.00%,54.20%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±3.6,±5.5,(X),±3.7,±5.6,(X),±24.8,±12.9,(X),**,**,(X),±28.1,±27.4,(X),**,**,(X),±100.0,±100.0,(X),±22.7,±22.7,(X),±62.2,±62.2
"Census Tract 5.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"2,252","2,252","2,049","2,006","2,006","1,876",151,139,82,44,44,44,94,94,94,0,0,0,89,74,46,136,136,119,379,364,246
        Margin of Error,,±305,±305,±280,±285,±285,±274,±109,±107,±61,±61,±61,±61,±79,±79,±79,±13,±13,±13,±70,±65,±56,±92,±92,±88,±124,±120,±94
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.00%,(X),100.00%,93.50%,(X),92.10%,54.30%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),83.10%,51.70%,(X),100.00%,87.50%,(X),96.00%,64.90%
        Margin of Error,,(X),±1.8,±3.5,(X),±2.0,±2.9,(X),±13.9,±40.9,(X),±49.6,±49.6,(X),±33.1,±33.1,(X),**,**,(X),±18.1,±36.1,(X),±25.1,±19.6,(X),±4.4,±14.7
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,015","1,015",969,914,914,877,96,84,45,16,16,16,36,36,36,0,0,0,45,39,17,42,42,25,186,180,132
        Margin of Error,,±184,±184,±175,±170,±170,±164,±71,±68,±33,±22,±22,±22,±50,±50,±50,±13,±13,±13,±39,±38,±27,±36,±36,±26,±75,±73,±63
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.50%,(X),100.00%,96.00%,(X),87.50%,46.90%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),86.70%,37.80%,(X),100.00%,59.50%,(X),96.80%,71.00%
